name,version,enabled,display_name,description,url
Office-365-Connector,5.2.0,Yes,Unknown,Office 365 Connector / Power Automate workflows,http://193.1.1.3:8080/pluginManager/plugin/Office-365-Connector/
antisamy-markup-formatter,173.v680e3a_b_69ff3,Yes,Unknown,OWASP Markup Formatter Plugin,http://193.1.1.3:8080/pluginManager/plugin/antisamy-markup-formatter/
apache-httpcomponents-client-4-api,4.5.14-269.vfa_2321039a_83,Yes,Unknown,Jenkins Apache HttpComponents Client 4.x API Plugin,http://193.1.1.3:8080/pluginManager/plugin/apache-httpcomponents-client-4-api/
apache-httpcomponents-client-5-api,5.5-170.v023de017ccd7,Yes,Unknown,Apache HttpComponents Client 5.x API Plugin,http://193.1.1.3:8080/pluginManager/plugin/apache-httpcomponents-client-5-api/
asm-api,9.9-185.va_6c6b_3348b_c3,Yes,Unknown,ASM API Plugin,http://193.1.1.3:8080/pluginManager/plugin/asm-api/
basic-branch-build-strategies,275.vde2351b_4a_58b_,Yes,Unknown,Basic Branch Build Strategies Plugin,http://193.1.1.3:8080/pluginManager/plugin/basic-branch-build-strategies/
bitbucket-push-and-pull-request,3.2.0,Yes,Unknown,Bitbucket Push and Pull Request Plugin,http://193.1.1.3:8080/pluginManager/plugin/bitbucket-push-and-pull-request/
bootstrap5-api,5.3.8-895.v4d0d8e47fea_d,Yes,Unknown,Bootstrap 5 API Plugin,http://193.1.1.3:8080/pluginManager/plugin/bootstrap5-api/
bouncycastle-api,2.30.1.82-277.v70ca_0b_877184,Yes,Unknown,bouncycastle API Plugin,http://193.1.1.3:8080/pluginManager/plugin/bouncycastle-api/
branch-api,2.1259.v45c101731c76,Yes,Unknown,Branch API Plugin,http://193.1.1.3:8080/pluginManager/plugin/branch-api/
build-name-setter,2.5.1,Yes,Unknown,Build Name and Description Setter,http://193.1.1.3:8080/pluginManager/plugin/build-name-setter/
caffeine-api,3.2.3-194.v31a_b_f7a_b_5a_81,Yes,Unknown,Caffeine API Plugin,http://193.1.1.3:8080/pluginManager/plugin/caffeine-api/
checks-api,373.vfe7645102093,Yes,Unknown,Checks API plugin,http://193.1.1.3:8080/pluginManager/plugin/checks-api/
cloudbees-folder,6.1073.va_7888eb_dd514,Yes,Unknown,Folders Plugin,http://193.1.1.3:8080/pluginManager/plugin/cloudbees-folder/
codesonar,3.6.0,Yes,Unknown,CodeSonar Plugin,http://193.1.1.3:8080/pluginManager/plugin/codesonar/
command-launcher,123.v37cfdc92ef67,Yes,Unknown,Command Agent Launcher Plugin,http://193.1.1.3:8080/pluginManager/plugin/command-launcher/
commons-lang3-api,3.19.0-104.v12125f33a_255,Yes,Unknown,commons-lang3 v3.x Jenkins API Plugin,http://193.1.1.3:8080/pluginManager/plugin/commons-lang3-api/
commons-text-api,1.14.0-194.v804a_dc3a_1b_d8,Yes,Unknown,commons-text API Plugin,http://193.1.1.3:8080/pluginManager/plugin/commons-text-api/
credentials-binding,702.vfe613e537e88,Yes,Unknown,Credentials Binding Plugin,http://193.1.1.3:8080/pluginManager/plugin/credentials-binding/
credentials,1447.v4cb_b_539b_5321,Yes,Unknown,Credentials Plugin,http://193.1.1.3:8080/pluginManager/plugin/credentials/
display-url-api,2.217.va_6b_de84cc74b_,Yes,Unknown,Display URL API,http://193.1.1.3:8080/pluginManager/plugin/display-url-api/
durable-task,635.v3733cef34b_5e,Yes,Unknown,Durable Task Plugin,http://193.1.1.3:8080/pluginManager/plugin/durable-task/
echarts-api,6.0.0-1165.vd1283a_3e37d4,Yes,Unknown,ECharts API Plugin,http://193.1.1.3:8080/pluginManager/plugin/echarts-api/
eddsa-api,0.3.0.1-19.vc432d923e5ee,Yes,Unknown,EDDSA API Plugin,http://193.1.1.3:8080/pluginManager/plugin/eddsa-api/
font-awesome-api,7.1.0-882.v1dfb_771e3278,Yes,Unknown,Font Awesome API Plugin,http://193.1.1.3:8080/pluginManager/plugin/font-awesome-api/
generic-webhook-trigger,2.4.1,Yes,Unknown,Generic Webhook Trigger Plugin,http://193.1.1.3:8080/pluginManager/plugin/generic-webhook-trigger/
gerrit-trigger,3.1969.v65d614ec771a_,Yes,Unknown,Gerrit Trigger,http://193.1.1.3:8080/pluginManager/plugin/gerrit-trigger/
git-client,6.4.0,Yes,Unknown,Jenkins Git client plugin,http://193.1.1.3:8080/pluginManager/plugin/git-client/
git,5.8.0,Yes,Unknown,Git plugin,http://193.1.1.3:8080/pluginManager/plugin/git/
github-api,1.330-492.v3941a_032db_2a_,Yes,Unknown,GitHub API Plugin,http://193.1.1.3:8080/pluginManager/plugin/github-api/
gson-api,2.13.2-173.va_a_092315913c,Yes,Unknown,Gson API Plugin,http://193.1.1.3:8080/pluginManager/plugin/gson-api/
instance-identity,203.v15e81a_1b_7a_38,Yes,Unknown,Instance Identity,http://193.1.1.3:8080/pluginManager/plugin/instance-identity/
ionicons-api,94.vcc3065403257,Yes,Unknown,Ionicons API,http://193.1.1.3:8080/pluginManager/plugin/ionicons-api/
jackson2-api,2.20.1-423.v13951f6b_6532,Yes,Unknown,Jackson 2 API Plugin,http://193.1.1.3:8080/pluginManager/plugin/jackson2-api/
jakarta-activation-api,2.1.3-2,Yes,Unknown,Jakarta Activation API,http://193.1.1.3:8080/pluginManager/plugin/jakarta-activation-api/
jakarta-mail-api,2.1.3-3,Yes,Unknown,Jakarta Mail API,http://193.1.1.3:8080/pluginManager/plugin/jakarta-mail-api/
jakarta-xml-bind-api,4.0.5-3.v3d5b_a_73965b_9,Yes,Unknown,Jakarta XML Binding API,http://193.1.1.3:8080/pluginManager/plugin/jakarta-xml-bind-api/
javax-activation-api,1.2.0-8,Yes,Unknown,JavaBeans Activation Framework (JAF) API,http://193.1.1.3:8080/pluginManager/plugin/javax-activation-api/
javax-mail-api,1.6.2-11,Yes,Unknown,JavaMail API,http://193.1.1.3:8080/pluginManager/plugin/javax-mail-api/
jaxb,2.3.9-133.vb_ec76a_73f706,Yes,Unknown,JAXB plugin,http://193.1.1.3:8080/pluginManager/plugin/jaxb/
jdk-tool,83.v417146707a_3d,Yes,Unknown,Oracle Java SE Development Kit Installer Plugin,http://193.1.1.3:8080/pluginManager/plugin/jdk-tool/
